,similarity
jade the taste of china,0.9704883556041262
may garden restaurant,0.9702768274782687
golden wok chinese restaurant,0.9663347246523541
rice to you,0.9663226694654149
golden coin,0.9654389002241835
new silver dragon,0.9637196220671801
good china restaurant,0.9627058365863194
south china express,0.9594725554132185
yis chinese restaurant,0.9588545620994369
super dragon,0.958262147790577
little dragon chinese restaurant,0.9578102327671223
dragon bowl,0.9574041296422782
bamboo china restaurant,0.9565106618605971
golden china,0.9562932128061999
mings pagoda,0.9562190651634657
green tea chinese restaurant,0.9557406946277612
mr chaos asia bistro,0.9537735361696522
great wok,0.953260133880396
george yangs chinese cuisine,0.952949823255003
dragon palace,0.9521537545498203
dao kitchen 2 asian bistro,0.95195416426813
king wong chinese food,0.9519064054589823
flamingo palace,0.949814636472538
desert jade,0.9497815302744694
kwan wok chinese restaurant,0.9483000908896658
the prime chinese restaurant,0.9482823032517433
garden express,0.9457879341017654
the wok express,0.945604297854672
autumn court chinese restaurant,0.9451702687996595
china village,0.9440215851273002
great wall cuisine,0.9427848374655945
szechwan palace,0.9420924161485873
hibachi grill supreme buffet,0.9408883563165008
canton wong,0.9386708587602629
siu wok,0.9378596328846815
best wok chinese restaurant,0.9376585706248972
lins grand buffet,0.9371188360895198
george sons asian cuisine,0.9367075916821228
oriental express,0.9363836451042598
tams,0.9363201084182204
mister wong,0.9354987257863044
china harvest buffet,0.9336800337715131
asian dining chinese restaurant,0.932656268271715
hong kong chinese cuisine,0.9303062526247912
nee house chinese restaurant,0.9293059744497199
savor flavor asia,0.9286428550457573
pf changs,0.9275874937391022
abacus inn chinese restaurant,0.9252735397401259
lis bowl,0.9238616077893893
yans,0.9226033591163932
mr cooks chinese cuisine,0.9224337699587153
star wok,0.9211597757778581
wang express,0.9196052371454867
canton dragon,0.9177926678693062
samurai sams greenway,0.9170271567409334
chen wok,0.9169482804544525
go go china,0.9167611612631069
mu shu asian grill,0.913965047867892
kims chinese kitchen,0.9047905724356157
little king of kings,0.9046216032202586
red wok buffet,0.9041442489500654
panda garden,0.9028851711313389
chen wok express,0.901921154098495
yoshis restaurant,0.8979975921098299
lims chinese buffet,0.896873689713998
china chef bistro,0.8901762603490948
shangrila chinese,0.886949756385445
lucky kitchen,0.8805017633280996
new garden restaurant,0.8803893140959392
pho bowl vietnamese cuisine,0.8800740625137083
water chestnut,0.8796819066573315
bps hotdogs more,0.875321258279619
red thai,0.8707963467234083
liyuen,0.8705726886204338
thai recipe bistro,0.869444753880917
pong pong,0.8691004511811561
new north china,0.8687545932102584
china restaurant,0.8677152324448545
park one cafe,0.8661279587283711
wild thaiger,0.8620332736521674
ohya sushi korean grill bar,0.8577765704064495
loving hut,0.8545545584839769
coolvybz jamaican restaurant,0.8541640122175169
pho bar central,0.8537879848303612
dellys jerk shack,0.8534371286346215
golden thai kitchen,0.8530915489226466
casita del mar,0.852545032600548
fabulous food,0.851023716607519
panda express,0.8509269804423316
pho saigon pearl,0.8488727325052189
hsin cafe,0.8477129190110184
jc sushi and chinese,0.8413498223079304
thai delight,0.8371031292795084
new asian kitchen,0.8366796139897007
ichi bowl,0.8347057852934018
grill 36,0.8344530497174533
gojo ethiopian restaurant,0.8342678771466077
sabai modern thai,0.8341563599041686
five star cafe,0.8340801336676287
across the pond,0.8333575194375071
clever koi,0.8330552567737595
krua thai cuisine,0.8327441944619617
china chili,0.832636621847057
carolinas mexican food,0.8326142570721435
hong kong kitchen,0.8317265771383313
ocotillo sun,0.8314998001517063
taco juan,0.8314630072260394
canton wong 8,0.8311955739971472
new china super buffet,0.830198724821886
abyssinia restaurant and cafe,0.8293230468246056
quiktrip,0.8285824434056291
las glorias restaurant,0.8261386255078332
foxy fruit acai bowls smoothies,0.8245483205093572
mariscos bella vista,0.8244209206484812
happy food,0.8242960761259542
