,similarity
ziggys il posto,0.8230918395749629
waffle house,0.8230684769332834
bar pesce,0.8230256439272814
cinnabon,0.8228374958308922
lamore italian restaurant,0.8226252969406048
restaurante tu pueblo,0.8219464596562747
dellys jerk shack,0.8216652306423657
burger passion,0.8215490889741752
casita del mar,0.8212374184038319
fuego bistro,0.8208086716656042
wild tuna sushi and spirits,0.8207228918556477
jackalope flats,0.8204998461903907
trattoria damico,0.8201540270214098
pizzario phoenix,0.8196985500067959
north italia,0.8194583645761847
wood fired pizzeria gelato spot,0.8187910536501537
auntie annes,0.8185752830179966
sand sharks bar and grill,0.8183259166681894
mellow mushroom,0.8182268939829144
the little woody,0.8175330997989522
chefs at your home,0.8171628932029757
whyld ass,0.8171386181395992
brigetts last laugh,0.815775494537971
tortas hipocampo,0.8154955085425077
mora italian,0.8153568056517422
pepe el toro mexican food,0.8150765481558888
buddyz a chicago pizzeria,0.8149396680039773
jackinthebox,0.8147957922274516
binkleys restaurant,0.8147366922478536
t cooks,0.8142815054647243
ammaccapanes restaurant sports bar,0.81388685715571
stonegrill,0.8137356355496748
wrights at the arizona biltmore,0.813587215320458
shogun,0.8130663482462039
lookout mountain golf club,0.8126104676892345
sushi style,0.8125581582287061
rack shack bbq,0.8121212562653112
el sabroso hot dogs,0.8120106934946665
hibachi city buffet,0.8119370193406281
yard house,0.8117257506514216
moon valley grill,0.8116317951436762
el taco feliz,0.8116140986096755
coachs corner grill,0.8114875445171515
focaccia fiorentina,0.811344949239871
true food kitchen,0.8111028819786992
the main ingredient ale house and caf,0.8109297187843061
mein man,0.8102820189290041
2 fat guys grilled cheese,0.8102714711734169
the melting potphoenix,0.8101599947710343
dagwoods,0.809548911671948
the gladly,0.8094604115580537
mother bunch brewing,0.809430417396322
majerles sports grill,0.8093136878325513
freak brothers pizza,0.809234788633939
eddys tacos y mas,0.8091737547485984
cherryblossom noodle cafe,0.8088991199953044
nypd pizza,0.8082716988782672
sushi nakano,0.8078559462091477
bliss rebar,0.8076432671825924
the codfather,0.8072070954294279
cibo,0.807098172761715
delivery dine,0.8065097569811401
la bocca wine bar urban kitchen,0.8051863943441413
flower child,0.8047626859662429
cabana club,0.8043046847690973
high dive,0.8040617505770349
jennifers catering events,0.8039144589671796
buffalo wild wings,0.8037170385465817
pane bianco,0.8036967952143028
sardellas pizza wings,0.8033655998212725
mr submarine,0.8032715077670218
park one cafe,0.8024471092603693
gracies tax bar,0.8024078596184598
uncle bears brewery,0.802356068701318
blaze fastfired pizza,0.8023498504606388
quiessence at the farm,0.8019281538773039
grand canyon beverage co,0.8017796841812475
tacos el rancho,0.8017565826163107
arizona country club,0.8017551193795229
